Text ID	English
Text.Guards.RollCallMain43	Quem aqui discorda das regras e não vai cumpri-las?
Text.Guards.RollCallMain44	Tu acha que tem direito a alguma cois?
Text.Guards.RollCallMain45	Vocês são imundos
Text.Guards.RollCallMain46	Deveríamos acabar com você de uma vez
Text.Guards.RollCallMain47	Quantas vezes terei que repetir?
Text.Guards.RollCallMain48	As regras existem para serem seguidas
Text.Guards.RollCallMain49	Alguém anda cortando a cerca
Text.Guards.RollCallMain50	Hoje, alguém irá levar uma surra daquelas
Text.Guards.RollCallMain51	Alguém anda pregando peças com a peruca do diretor
Text.Guards.RollCallMain52	Como minha mãe dizia...
Text.Guards.RollCallMain53	Aproveitando o assunto...
Text.Guards.RollCallMain54	Quando estiver falando contigo, OLHE PRA MIM!
Text.Guards.RollCallMain55	Ouvi um incidente relacionado à nudismo...
Text.Guards.RollCallMain56	Isso me lembra...
Text.Guards.RollCallMain57	Quem ai vai limpar o meu sapato?
Text.Guards.RollCallMain58	Alguém roubou a roupa íntima do diretor
Text.Guards.RollCallMain59	Como eu dizia pra minha ex-esposa traidora...
Text.Guards.RollCallMain60	Eu avisarei quando tiverem permissão pra abrirem o bico
Text.Guards.RollCallMain61	Como meu velho dizia...
Text.Guards.RollCallMain62	Prestem atenção
Text.Guards.RollCallMain63	A comida na cantina será racionada
Text.Guards.RollCallMain64	Você lavou a parte de trás da sua orelha?
Text.Guards.RollCallMain65	Cometa algum erro, e seu almoço será barro.
Text.Guards.RollCallMain66	Nunca se esqueçam, vocês são o lixo da sociedade.
Text.Guards.RollCallMain67	Ninguém é amigo de vocês
Text.Guards.RollCallMain68	A sua família, já te abandonou
Text.Guards.RollCallMain69	Por acaso, eu deixei você respirar?!
Text.Guards.RollCallMain70	Me chamem de rei.
	
Text.Inmates.Gym1	Trabalhando e exercitando
Text.Inmates.Gym2	*huh*
Text.Inmates.Gym3	Preciso de uma bebida
Text.Inmates.Gym4	Dá uma olhada nesse tanquinho
Text.Inmates.Gym5	Observe como eu malho
Text.Inmates.Gym6	Trabalho abdominal é pra poucos
Text.Inmates.Gym7	Vâmo lá
Text.Inmates.Gym8	Quanto tu consegue levantar?
Text.Inmates.Gym9	Pode aumentar a pressão
Text.Inmates.Gym10	Estou indo no meu próprio ritmo
Text.Inmates.Gym11	O negócio é conseguir ficar em pé depois
Text.Inmates.Gym12	Mais, mais!
Text.Inmates.Gym13	Vâmo acelera aí cara
Text.Inmates.Gym14	Terminou?
Text.Inmates.Gym15	Olha meus quadrícipes
Text.Inmates.Gym16	Isso não é nada
Text.Inmates.Gym17	Chama isso de musculação
Text.Inmates.Gym18	Fácil
Text.Inmates.Gym19	Saquei
Text.Inmates.Gym20	Pega leve
Text.Inmates.Gym21	O ínicio sempre é mais complicado
Text.Inmates.Gym22	Tem que dar duro nisso
Text.Inmates.Gym23	Isso daqui é tudo músculo
Text.Inmates.Gym24	Musculoso e bonitão, esse sou eu.
Text.Inmates.Gym25	Nenhum photoshop consegue fazer isso
Text.Inmates.Gym26	Tá de olho nos meus músculos, né? Realmente, são esplendidos...
Text.Inmates.Gym27	Depois que eu treinar bastante, vou dar umas lições à uns guardas...
Text.Inmates.Gym28	Isso nem cansa
Text.Inmates.Gym29	Só vou parar quando meus músculos estiverem no máximo!
Text.Inmates.Gym30	*roar*
	
Text.Inmates.FoodHall1	Tu chama isso de comida?
Text.Inmates.FoodHall2	Tem cabelo na minha sopa
Text.Inmates.FoodHall3	Quem tacou isso?
Text.Inmates.FoodHall4	Isso me dá nojo
Text.Inmates.FoodHall5	Melhor tomar conta do meu pudim
Text.Inmates.FoodHall6	Cara, tô cheio
Text.Inmates.FoodHall7	Cozinheiro!
Text.Inmates.FoodHall8	Se eu comer isso, posso morrer.
Text.Inmates.FoodHall9	Tem alguma sobremesa?
Text.Inmates.FoodHall10	Isso tem gosto de barro
Text.Inmates.FoodHall11	Vai comer isso?
Text.Inmates.FoodHall12	Se importa se eu comer isso pra você?
Text.Inmates.FoodHall13	Tô passando mal
Text.Inmates.FoodHall14	Isso daqui tem um cheiro diferente
Text.Inmates.FoodHall15	Isso daqui é velho
Text.Inmates.FoodHall16	Tem um mosquito no meu mingau
Text.Inmates.FoodHall17	Aqui não tem nenhum fogão não?
Text.Inmates.FoodHall18	Já experimentou isso?
Text.Inmates.FoodHall19	Experimente isso
Text.Inmates.FoodHall20	Eugh
Text.Inmates.FoodHall21	Não consigo comer isso
Text.Inmates.FoodHall22	Bom, preciso de energia
Text.Inmates.FoodHall23	GUARDAS! Alguém pegou meu pudim!
Text.Inmates.FoodHall24	Cadê meu pudim?
Text.Inmates.FoodHall25	Ainda tô com fome
Text.Inmates.FoodHall26	Mastigue mais rápido
Text.Inmates.FoodHall27	Isso é algum tipo novo de comida exótica?
Text.Inmates.FoodHall28	Vou precisar de balas de menta depois de comer isso
Text.Inmates.FoodHall29	Imagina, se isso fosse comida de verdade
Text.Inmates.FoodHall30	Não é tão ruim
Text.Inmates.FoodHall31	O gosto não é tão ruim assim...
Text.Inmates.FoodHall32	Tá um pouco queimado
Text.Inmates.FoodHall33	Já comi coisas melhores
Text.Inmates.FoodHall34	Passa o sal
Text.Inmates.FoodHall35	Bem que podiam usar algum tempero né?...
Text.Inmates.FoodHall36	Tá faltando algo...
Text.Inmates.FoodHall37	Tô quase vomitando...
Text.Inmates.FoodHall38	Quem que cuida da cozinha aqui?
Text.Inmates.FoodHall39	O chefe tá precisando de umas férias
Text.Inmates.FoodHall40	Palmas para o chefe
Text.Inmates.FoodHall41	Calma ai
Text.Inmates.FoodHall42	Não fale de boca cheia
Text.Inmates.FoodHall43	Solte o bolo
Text.Inmates.FoodHall44	Passa esse pudim aé
Text.Inmates.FoodHall45	Chama isso de comida?
Text.Inmates.FoodHall46	Tu tá pensando em comer isso tudo?
Text.Inmates.FoodHall47	Cala a boca
Text.Inmates.FoodHall48	Se importa?
Text.Inmates.FoodHall49	Ia ser bom se não quisessem te matar com a comida
Text.Inmates.FoodHall50	Tá uma delicia isso daqui
Text.Inmates.FoodHall51	Tá um pouco passado
Text.Inmates.FoodHall52	Isso me lembra da vez que comi comida de cachorro
Text.Inmates.FoodHall53	Isso deve ser resto de comida da primeira guerra mundial
Text.Inmates.FoodHall54	Sério mesmo, cheira isso
Text.Inmates.FoodHall55	Isso não é cabelo de gente...   
Text.Inmates.FoodHall56	Quem preparou essa comida, merecia ser enterrado vivo!
Text.Inmates.FoodHall57	Minha nota pra está comida? 10! ...valendo 100
Text.Inmates.FoodHall58	Não tô legal...
Text.Inmates.FoodHall59	Passa o pudim ou pego tua alma. E o número da sua esposa.
Text.Inmates.FoodHall60	Eu queria ter a receita disso
Text.Inmates.FoodHall61	Chefe!
Text.Inmates.FoodHall62	Tem uma comida nesse meu mosquito!
Text.Inmates.FoodHall63	Isso é comida?
Text.Inmates.FoodHall64	CÓDIGO VERMELHO!
Text.Inmates.FoodHall65	O refeitório tá cheio
Text.Inmates.FoodHall66	Vou comer só três pudins... sabe como é, dieta.
	
Text.Inmates.Banter1	Esse lugar é um lixo
Text.Inmates.Banter2	Que bosta de lugar
Text.Inmates.Banter3	Aqui, todo mundo é inocente
Text.Inmates.Banter4	Você é inocente? Eu também!
Text.Inmates.Banter5	Todos nós somos inocentes.
Text.Inmates.Banter6	Os guardas são os piores daqui!
Text.Inmates.Banter7	Não confie em ninguém
Text.Inmates.Banter8	Ninguém é confiável
Text.Inmates.Banter9	Alguém deixou uma surpresinha no meu vaso 
Text.Inmates.Banter10	Alguém cagou na minha cama, que bosta. Literalmente.
Text.Inmates.Banter11	Logo eu vou pra condicional, melhor dar um jeito de largas as drogas
Text.Inmates.Banter12	Negaram meu pedido de ir pra condicional
Text.Inmates.Banter13	Tenho que socar alguém
Text.Inmates.Banter14	Vou procurar alguém mais fraco e dar uma surra
Text.Inmates.Banter15	Não olhe agora, mas acho que os parafusos estão nos vigiando para alguém...
Text.Inmates.Banter16	Acho que estou sendo vigiado
Text.Inmates.Banter17	É só eu ou tá quente aqui?
Text.Inmates.Banter18	Tá bem frio, não acha?
Text.Inmates.Banter19	Tá frio demais aqui, concorda?
Text.Inmates.Banter20	Esse lugar é congelante
Text.Inmates.Banter21	Tá fervendo aqui!
Text.Inmates.Banter22	A porcaria do ar condicionado parou de novo?
Text.Inmates.Banter23	Aqui não tem nada que preste
Text.Inmates.Banter24	Os parafusos são malignos e estão planejando algo...
Text.Inmates.Banter25	Estou com vários problemas
Text.Inmates.Banter26	Algo grande está por vir
Text.Inmates.Banter27	Tem algo no ar...
Text.Inmates.Banter28	Algo vai acontecer, e será grande...
Text.Inmates.Banter29	Eu era um açougueiro
Text.Inmates.Banter30	Eu era um barbeiro
Text.Inmates.Banter31	Eu era um taxista
Text.Inmates.Banter32	Eu era CEO de uma grande empresa...
Text.Inmates.Banter33	Eu era um pedreiro...
Text.Inmates.Banter34	Eu tinha minha própria companhia
Text.Inmates.Banter35	Eu tinha uma loja, só minha...
Text.Inmates.Banter36	Eu desenvolvia jogos...
Text.Inmates.Banter37	Eu era um mendigo...
Text.Inmates.Banter38	Eu era um assassino de aluguel
Text.Inmates.Banter39	Eu costumava ser um vigarista sabe
Text.Inmates.Banter40	Agora eu mudei. Bom pra mim!
Text.Inmates.Banter41	Agora eu mudei. Que maravilha!
Text.Inmates.Banter42	Agora eu mudei. O que você achou?
Text.Inmates.Banter43	Agora eu mudei. Simples assim?
Text.Inmates.Banter44	Agora eu mudei. O que você achou?
Text.Inmates.Banter45	Me tornei algo totalmente diferente!
Text.Inmates.Banter46	Você viu muito ultimamente?
Text.Inmates.Banter47	Agora, eu veria qualquer filme.
Text.Inmates.Banter48	Que tipo de filme você gosta?
Text.Inmates.Banter49	Você deve estar brincando comigo.
Text.Inmates.Banter50	Havia apenas oito, então carreguei todos eles
Text.Inmates.Banter51	Quem ele pensa que é, hein?
Text.Inmates.Banter52	Com quem ele pensa que está falando
Text.Inmates.Banter53	Deve ser difícil ser vesgo
Text.Inmates.Banter54	Bocejo
Text.Inmates.Banter55	Que sono...
Text.Inmates.Banter56	Isso deixa minha bunda grande?
Text.Inmates.Banter57	Você tem um cheiro bom
Text.Inmates.Banter58	Que cheiro é esse?
Text.Inmates.Banter59	Tu tá fedendo mano
Text.Inmates.Banter60	Parece que alguém morreu...
Text.Inmates.Banter61	Tô passando mal...
Text.Inmates.Banter62	EU sou a vítima.
Text.Inmates.Banter63	Eu sou uma vítima da sociedade.
Text.Inmates.Banter64	Eu sou uma vít...não, melhor parar.
Text.Inmates.Banter65	Olha como eu sou forte.
Text.Inmates.Banter66	Eu ando malhando, sabe com'é que é né?
Text.Inmates.Banter67	Tô tomando umas vitaminas com muitas proteínas
Text.Inmates.Banter68	Tô levando musculação à sério.
Text.Inmates.Banter69	Você precisa ter bíceps como estes
Text.Inmates.Banter70	Mais tarde vou dar uma lições à umas pessoas
Text.Inmates.Banter71	Hoje alguém vai ser espancado...
Text.Inmates.Banter72	A enfermaria vai lotar hoje
Text.Inmates.Banter73	Tenho que mostrar quem é que manda pra alguém
Text.Inmates.Banter74	Vou caçar um imbecil hoje
Text.Inmates.Banter75	Hoje, alguém será punido.
Text.Inmates.Banter76	É melhor ele nem pensar nisso
Text.Inmates.Banter77	Coitado...
Text.Inmates.Banter78	É melhor ele ficar atento
Text.Inmates.Banter79	Ele tá em sérios problemas
Text.Inmates.Banter80	Alguém vai voar hoje
Text.Inmates.Banter81	Ele vai ver o Bruce Lee 2015 em pessoa hoje
Text.Inmates.Banter82	Ele tá testando minha paciência
Text.Inmates.Banter83	Eu deixei uma boa marca naquele cara
Text.Inmates.Banter84	Ele ficou pegando os dentes dele no chão depois
Text.Inmates.Banter85	Depois, ele ficou se lamentando no chão
Text.Inmates.Banter86	Tenha cuidado
Text.Inmates.Banter87	Não estou em perigo, EU sou o perigo
Text.Inmates.Banter88	' Say my name '
Text.Inmates.Banter89	Naquele dia, ele ficou igual galinha atrás dos dentes dele
Text.Inmates.Banter90	Aquele dia que choveu, sabe...
Text.Inmates.Banter91	É melhor chamar o Saul!
Text.Inmates.Banter92	Aquele filho da mãe se virou contra mim
Text.Inmates.Banter93	Aquele imbecil me traiu
Text.Inmates.Banter94	Aquele infeliz me delatou
Text.Inmates.Banter95	Ouviu isso?
Text.Inmates.Banter96	Eu andei treinando algumas técnicas que aprendi com o Bruce Lee
Text.Inmates.Banter97	Ela disse que eu era o pai!
Text.Inmates.Banter98	Só pode ser brincadeira...
Text.Inmates.Banter99	Eram só oito deles, então acabei com todos
Text.Inmates.Banter100	Ouvi dizer que a esposa do $guard andou traindo ele
Text.Inmates.Banter101	Ouvi dizer que a esposa $guard abandonou ele
Text.Inmates.Banter102	Pelo visto, a esposa do $guard pediu divorcio
Text.Inmates.Banter103	Pelo jeito, a esposa do  $guard desistiu dele
Text.Inmates.Banter104	Me contaram que a esposa do $guard abriu um processo contra ele
Text.Inmates.Banter105	Ouvi que a esposa do $guard abriu um processo judicial contra ele
Text.Inmates.Banter106	Acredita que a esposa do $guard tá saindo com outra mulher?
Text.Inmates.Banter107	O cão do $guard morreu
Text.Inmates.Banter108	Pelo visto, o cachorro do $guard se foi. 
Text.Inmates.Banter109	Soube que o gato do $guard morreu.
Text.Inmates.Banter110	O $guard perdeu seu gatinho.
Text.Inmates.Banter111	Ouvi falarem que o gato do $guard atacou ele
Text.Inmates.Banter112	Soube que o $guard é viciado em bebidas
Text.Inmates.Banter113	O $guard quebrou um dos meus dentes!
Text.Inmates.Banter114	O $guard me deu uma bela duma surra!
Text.Inmates.Banter115	O $guard sujou meu cabelo com um tijolo!
Text.Inmates.Banter116	Me disseram que o $guard está passando por tratamento terapêutico
Text.Inmates.Banter117	Ouvi dizer que o $guard está tendo problemas no paraíso.
Text.Inmates.Banter118	O $guard anda traindo sua esposa
Text.Inmates.Banter119	Me falaram que o $guard separou da sua esposa
Text.Inmates.Banter120	Ouvi falar que o $guard mudou de opção, se é que me entende.
Text.Inmates.Banter121	Tomará que o $guard seja demitido
Text.Inmates.Banter122	Pelo visto o $guard está se preparando para aposentar-se
Text.Inmates.Banter123	Me disseram que o nome do $guard está na lista de alguns assassinos
Text.Inmates.Banter124	Disseram que o $guard vai sumir do mapa
Text.Inmates.Banter125	Falaram que o $guard será espancado amanhã
Text.Inmates.Banter126	Disseram que alguém vai cortar as asinhas do $guard
Text.Inmates.Banter127	Pelo visto, o $guard ficou acabado
Text.Inmates.Banter128	Disseram que o $guard foi roubado 
Text.Inmates.Banter129	Infelizmente, o $inmate irá ser solto em breve
Text.Inmates.Banter130	Pelo visto, o $inmate está planejando fugir daqui
Text.Inmates.Banter131	A esposa do $inmate já encontrou alguém pra substitui-lo
Text.Inmates.Banter132	Me contaram que a esposa do $inmate largou ele
Text.Inmates.Banter133	Disseram que a esposa do $inmate cansou dele
Text.Inmates.Banter134	A esposa do $inmate sumiu
Text.Inmates.Banter135	Me falaram que a esposa do $inmate morreu
Text.Inmates.Banter136	Ouvi falarem que a esposa do $inmate foi presa
Text.Inmates.Banter137	Falaram que o $inmate vai levar uma boa surra
Text.Inmates.Banter138	Pelo visto, o $inmate vai fazer algumas visitinhas
Text.Inmates.Banter139	Ouvi dizerem que o $inmate cometeu um crime grande
Text.Inmates.Banter140	Soube que o $inmate tá aqui por assalto armado
Text.Inmates.Banter141	Disseram que o $inmate tá aqui por desrespeito as autoridades
Text.Inmates.Banter142	Me contaram que o $inmate tá aqui porque ele roubou a própria mãe
Text.Inmates.Banter143	Falaram que o $inmate é um policia disfarçado
Text.Inmates.Banter144	Disseram que o $inmate é um informante do FBI
Text.Inmates.Banter145	Falaram que o $inmate é um ladrão
Text.Inmates.Banter146	Disseram que o $inmate é só um rato
Text.Inmates.Banter147	Soube que o $inmate tem algum problema comigo...
Text.Inmates.Banter148	Descobri que o $inmate tá atrás de tu
Text.Inmates.Banter149	Ouvi dizer que o $inmate tá contrabandeando
Text.Inmates.Banter150	As vezes, eu fico rindo até dormir
Text.Inmates.Banter151	Como uma espingarda seria útil
Text.Inmates.Banter152	No final, acabei tendo que comer minhas calças
Text.Inmates.Banter153	E então meu irmão virou minha irmã
Text.Inmates.Banter154	Não tenho nada à declarar, fora minha inocência
Text.Inmates.Banter155	Eles acabaram com a minha cela
Text.Inmates.Banter156	Eles reviraram minha cela
Text.Inmates.Banter157	Meu vaso entupiu de novo
Text.Inmates.Banter158	Cara, meu vaso tá entupido de novo
Text.Inmates.Banter159	Ai depois de ouvir isso, minha esposa parou de me visitar
Text.Inmates.Banter160	Minha esposa sumiu depois de ouvir isso
Text.Inmates.Banter161	A primeira regra do clube da luta: você não fala sobre o clube da luta
Text.Inmates.Banter162	Todo mundo daqui é doido
Text.Inmates.Banter163	Os guardas daqui são uma piada
Text.Inmates.Banter164	O pessoal daqui é tão estupido...
Text.Inmates.Banter165	Os guardas dessa prisão são uns bosta
Text.Inmates.Banter166	Tá pensando em fugir?
Text.Inmates.Banter167	Ouvi dizer que tem um pessoal planejando escapar
Text.Inmates.Banter168	Se realmente existir um plano de fuga, eu gostaria de participar
Text.Inmates.Banter169	Já pensou em sair daqui?
Text.Inmates.Banter170	Prevejo uma guerra
Text.Inmates.Banter171	Tô entendiado, vâmo faze uma guerrinha?
Text.Inmates.Banter172	Nós deveríamos ir detonar a academia
Text.Inmates.Banter173	Que tal uma guerra de comida na cantina?
Text.Inmates.Banter174	Livros são chatos, exceto quando usados pra machucar.
Text.Inmates.Banter175	Deveríamos ir atacar o refeitório
Text.Inmates.Banter176	Vâmo zoar pela academia
Text.Inmates.Banter177	Que tal irmos acabar com a biblioteca?
Text.Inmates.Banter178	...isso me fez começar a pensar
Text.Inmates.Banter179	...foi assim que me tornei uma pessoa religiosa
Text.Inmates.Banter180	...então eu entrei no mundo do crime
Text.Inmates.Banter181	...e é por isso que eu vim parar aqui
Text.Inmates.Banter182	Tenho minhas duvidas...
Text.Inmates.Banter183	Sempre disse isso
Text.Inmates.Banter184	Concordo
Text.Inmates.Banter185	Acabei de sair da solitária
Text.Inmates.Banter186	A solitária é um inferno
Text.Inmates.Banter187	A solitária te deixa louco cara
Text.Inmates.Banter188	Tu zerou o Spud Quest?
Text.Inmates.Banter189	Como tava dizendo...
Text.Inmates.Banter190	Tô falando merda?
Text.Inmates.Banter191	Eu gaguejei?
Text.Inmates.Banter192	Tô te chateando?
Text.Inmates.Banter193	Eles queriam me matar
Text.Inmates.Banter194	Achei cabelo na minha comida
Text.Inmates.Banter195	As refeições daqui parecem vomito em pratos
Text.Inmates.Banter196	Percebi que o negócio ia ficar feio, então dei o fora
Text.Inmates.Banter197	*soluço*
Text.Inmates.Banter198	Tô sabendo de uns rumores...
Text.Inmates.Banter199	*hic*
Text.Inmates.Banter200	O que ele disse?
Text.Inmates.Banter201	Ele tá cavando sua própria cova
Text.Inmates.Banter202	E então?
Text.Inmates.Banter203	Ele sabe quem eu sou?
Text.Inmates.Banter204	Estou meditando
Text.Inmates.Banter205	Tomará que esteja divertindo-se
Text.Inmates.Banter206	Não é tão ruim
Text.Inmates.Banter207	Adriaaaan!
Text.Inmates.Banter208	Tenho uma reunião em 10 minutos...
Text.Inmates.Banter209	As vezes acho que me divirto muito aqui
Text.Inmates.Banter210	Eu dei uma reputação ruim pra essa prisão na internet
Text.Inmates.Banter211	Você não pode se divertir aqui
Text.Inmates.Banter212	Estou me divertindo muito
Text.Inmates.Banter213	Alguém deu um gemido?
Text.Inmates.Banter214	Hipsters..
Text.Inmates.Banter215	Eu dito as regras por aqui
Text.Inmates.Banter216	Eu domino esse lugar 
Text.Inmates.Banter217	Me sacrifico pelo pessoal
Text.Inmates.Banter218	Só brigo com os mais fracos
Text.Inmates.Banter219	Tá afim de saber como consegui essas feridas?
Text.Inmates.Banter220	Me bateram com uma colher de pau
Text.Inmates.Banter221	Então, ele veio até mim com uma colher
Text.Inmates.Banter222	Eu lutei com 10 caras com uma colher de pau!
Text.Inmates.Banter223	Acha que sou seu bobo da corte?
Text.Inmates.Banter224	Como assim?
Text.Inmates.Banter225	Acho que ele catou a carteira dele!
Text.Inmates.Banter226	Alguém tá me trollando...
Text.Inmates.Banter227	Dude's got bad intentions.
Text.Inmates.Banter228	Estamos tendo problemas de comunicação
Text.Inmates.Banter229	Tudo bem, mas eu prefiro hard house, cara!
	
Text.Inmates.PlayerRep1.1	Suma daqui
Text.Inmates.PlayerRep1.2	Vai brincar em outro lugar
Text.Inmates.PlayerRep1.3	Vá atrapalhar outro
Text.Inmates.PlayerRep1.4	Tá com algum problema?
Text.Inmates.PlayerRep1.5	Você é um merda
Text.Inmates.PlayerRep1.6	Que tu quer?
Text.Inmates.PlayerRep1.7	Desapareça
Text.Inmates.PlayerRep1.8	Vê se não enche
Text.Inmates.PlayerRep1.9	Use os olhos quando anda.
Text.Inmates.PlayerRep1.10	Tá querendo levar uma surra?
Text.Inmates.PlayerRep1.11	Continua enchendo o saco, e eu te arrebento
